1,"Velasquez Pyramid","6","42","PR","PR","PR","Colorado Maduro","Mild",
6,"Ventura Cigar Archetype Initiation Toro","6","52","NIC","HAB/NIC","ECU/HAB","Colorado","Medium",
6,"Ventura Cigar Archetype Sage Advice Gordo","6","60","DR","SEC","HAB","Colorado Maduro","Medium-Full",
6,"Ventura Cigar Archetype Sage Advice Robusto","5.25","54","DR","SEC","HAB","Colorado Maduro","Medium-Full",
6,"Ventura Cigar Archetype Sage Advice Toro","6","52","DR","SEC","HAB","Colorado Maduro","Medium-Full",
6,"Ventura Cigar Archetype Strange Passage Gordo","6","60","HON","SEC","ECU/HAB","Colorado Maduro","Full",
6,"Ventura Cigar Archetype Strange Passage Robusto","5.5","54","HON","SEC","ECU/HAB","Colorado Maduro","Full",
6,"Ventura Cigar Archetype Strange Passage Short Robusto","4.5","50","HON","SEC","ECU/HAB","Colorado Maduro","Full",
6,"Ventura Cigar Estilo Cubano Lancero","6","38","HON","CR/HON/NIC","","Maduro","Full",
6,"Ventura Cigar Estilo Cubano Matador ","6.5","56","HON","CR/HON/NIC","","Maduro","Full",
6,"Ventura Cigar Estilo Cubano Robusto Gordo ","4.75","52","HON","CR/HON/NIC","","Maduro","Full",
6,"Ventura Cigar Estilo Cubano Salomon [+]","6.75","54","HON","CR/HON/NIC","HON","Maduro","Medium-Full",
6,"Ventura Cigar Estilo Cubano Toraso ","5.75","54","HON","CR/HON/NIC","","Maduro","Full",
6,"Ventura Cigar Estilo Cubano Toro Gordo","6","60","HON","CR/HON/NIC","NIC","Maduro","Full",
6,"Ventura Cigar Hugo Cassar Churchill ","7","48","NIC","NTL","NTL","Colorado Claro","Mild",
6,"Ventura Cigar Hugo Cassar Corona","5.5","43","NIC","NTL","NTL","Colorado Claro","Mild",
6,"Ventura Cigar Hugo Cassar Hugito","3.5","50","NIC","NTL","NTL","Colorado Claro","Mild",
6,"Ventura Cigar Hugo Cassar Tubos","4.75","50","NIC","NTL","NTL","Colorado Claro","Mild",
6,"Ventura Cigar Las Ramblas Habano Criollo","6.5","50","HON","HON/NIC","CRI/HON","Colorado","Medium-Full",
6,"Ventura Cigar Las Ramblas Honduran Connecticut Shade","6.5","50","HON","HON/NIC","CTS/HON","Colorado Claro","Mild",
6,"Ventura Cigar Las Ramblas Maduro","6.5","50","HON","HON/NIC","HON","Maduro","Medium-Full",
6,"Ventura Cigar Project 805 Churchill (805C)","7","50","DR","DR","COR","Colorado","Mild",
6,"Ventura Cigar Project 805 Churchill Cubra Maduro","7","50","DR","DR","BRA","Maduro","Medium-Full",
6,"Ventura Cigar Project 805 Figurarado (805F)","6.25","52","DR","DR","COR","Colorado","Mild",
6,"Ventura Cigar Project 805 Robusto (805R) ","5","50","DR","DR","COR","Colorado","Mild",
6,"Ventura Cigar Project 805 Robusto Cubra Maduro","5","50","DR","DR","BRA","Maduro","Medium-Full",
6,"Ventura Cigar Project 805 Toro (805T)","6","50","DR","DR","COR","Colorado","Mild",
6,"Ventura Cigar Project 805 Toro Cubra Maduro","6","50","DR","DR","BRA","Maduro","Medium-Full",
6,"Ventura Cigar PsyKo Seven Corona","5.5","46","DR","DR/HON/NIC/PER","DR","Colorado Maduro","Mild-Medium",
6,"Ventura Cigar PsyKo Seven Gordito","4","58","DR","DR/HON/NIC/PER","DR","Colorado Maduro","Mild-Medium",
6,"Ventura Cigar PsyKo Seven Gordo ","6","60","DR","DR/HON/NIC/PER","DR","Colorado Maduro","Mild-Medium",
6,"Ventura Cigar PsyKo Seven Gordo Maduro ","6","60","DR","DR/HON/NIC/PER","MEX","Maduro","Mild-Medium",
6,"Ventura Cigar PsyKo Seven Robusto ","5.5","50","DR","DR/HON/NIC/PER","DR","Colorado Maduro","Mild-Medium",
6,"Ventura Cigar PsyKo Seven Robusto Maduro","5.5","50","DR","DR/HON/NIC/PER/USA","MEX","Maduro","Mild-Medium",
6,"Ventura Cigar PsyKo Seven Toro","6.25","48","DR","DR/HON/NIC/PER","DR","Colorado Maduro","Mild-Medium",
6,"Ventura Cigar Pura Sangre Churchill ","7","52","NIC","NIC","NIC","Colorado","Medium-Full",
6,"Ventura Cigar Pura Sangre Corona Grande","7","58","NIC","NIC","NIC","Colorado","Medium-Full",
6,"Ventura Cigar Pura Sangre Robusto ","5","54","NIC","NIC","NIC","Colorado","Medium-Full",
6,"Ventura Cigar Pura Sangre Torpedo","6","52","NIC","NIC","NIC","Colorado","Medium-Full",
7,"Veracruz Magnum","7.875","50","MEX","MEX","MEX","","",
7,"Veracruz Mina de Veracruz","","","MEX","MEX","MEX","","",
7,"Veracruz Poemas de Veracruz","","","MEX","MEX","MEX","","",
7,"Veracruz Reserve Especial","6.5","42","MEX","MEX","MEX","","",
8,"Verdadero Organic Robusto ","5","50","NIC","NIC","CT/ECU","Colorado Maduro","Mild-Medium",
8,"Verdadero Organic Toro ","6","50","NIC","NIC","CT/ECU","Colorado Maduro","Mild-Medium",
8,"Verdadero Organic Torpedo ","6","52","NIC","NIC","CT/ECU","Colorado Claro","Mild-Medium",
8,"Verdadero OSG (Organic Sun Grown) Gordo","6","60","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
8,"Verdadero OSG (Organic Sun Grown) Robusto","5","50","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
8,"Verdadero OSG (Organic Sun Grown) Toro","6","50","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
8,"Verdadero OSG (Organic Sun Grown) Torpedo","6","52","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
9,"Verellen Alternitivos Cherry","3.5","20","BEL","NIC","SUM","Naturale","Mild-Medium",
9,"Verellen Alternitivos Rum","3.5","20","BEL","NIC","SUM","Naturale","Mild-Medium",
9,"Verellen Alternitivos Vanilla","3.5","20","BEL","NIC","SUM","Naturale","Mild-Medium",
10,"Veritas 412","6","54","NIC","NIC/PA","PA","Maduro","Medium-Full",
10,"Veritas Aroma Habano Toro Barber Pole","6","52","NIC","NIC","HAB","Multiple","",
10,"Veritas Aroma Habano Torpedo","6.125","52","NIC","NIC","HAB","Colorado Maduro","",
10,"Veritas Dea Connecticut Robusto","5","50","NIC","NIC","CTS","Colorado Claro","",
10,"Veritas Dea Connecticut Salomon","7.25","58","NIC","NIC","CTS","Colorado Claro","",
10,"Veritas MMXI","6","60","NIC","NIC","MEX","Maduro","Medium-Full",
10,"Veritas The Veritas","6","52","DR","COL/DR/NIC/PER","BRA","Maduro","Medium-Full",
10,"Veritas Torch Connecticut Robusto","5","50","NIC","NIC","CT/ECU","Colorado Claro","Medium",
10,"Veritas Torch Connecticut Toro ","6","50","NIC","NIC","CT/ECU","Colorado Claro","Medium",
10,"Veritas Torch Connecticut Torpedo","6.12","54","NIC","NIC","CT/ECU","Colorado Claro","Medium",
10,"Veritas Torch Habano Double Corona","7","54","NIC","NIC","ECU","Colorado","Medium",
10,"Veritas Torch Habano Robusto","5","50","NIC","NIC","ECU","Colorado","Medium",
10,"Veritas Torch Habano Toro","6","50","NIC","NIC","ECU","Colorado","Medium",
10,"Veritas Torch Habano Torpedo","6.12","54","NIC","NIC","ECU","Colorado","Medium",
10,"Veritas Torch Maduro Robusto ","5","50","NIC","NIC","ECU","Maduro","Medium",
10,"Veritas Torch Maduro Toro","6","50","NIC","NIC","ECU","Maduro","Medium",
10,"Veritas Torch Maduro Torpedo","6.12","54","NIC","NIC","ECU","Maduro","Medium",
10,"Veritas Tri Triple Wrapper Double Toro","6","60","NIC","NIC","CTS/HAB/MEX","Multiple","",
10,"Veritas Truth Maduro Double Toro","6","60","NIC","NIC","MEX","Maduro","",
10,"Veritas Truth Maduro Torpedo","6.125","52","NIC","NIC","MEX","Maduro","",
11,"Verona Amaretto","3.75","24","DR","","","Naturale","Mild",
11,"Verona Cherry","3.75","24","DR","","","Naturale","Mild",
11,"Verona Chocolate","3.75","24","DR","","","Naturale","Mild",
11,"Verona Coconut","3.75","24","DR","","","Naturale","Mild",
11,"Verona Coffee","3.75","24","DR","","","Naturale","Mild",
11,"Verona Cream Caramel","3.75","24","DR","","","Naturale","Mild",
11,"Verona Natural","3.75","24","DR","","","Naturale","Mild",
11,"Verona Vanilla","3.75","24","DR","","","Naturale","Mild",
12,"Verona (Egypt) Cigarillo","4","22","","DR/HON/ITA","INDO","Colorado Maduro","Mild",
13,"Viaje 50/50 Black Label No.1 Corona Gorda ","5.625","46","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
13,"Viaje 50/50 Black Label No.2 Toro","6","50","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
13,"Viaje 50/50 Black Label No.3 Churchill ","7","47","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
13,"Viaje 50/50 Red Label No.1 Corona Gorda ","5.625","46","NIC","NIC","COR/NIC","Colorado","Medium-Full",
13,"Viaje 50/50 Red Label No.2 Toro ","6","50","NIC","NIC","COR/NIC","Colorado","Medium-Full",
13,"Viaje 50/50 Red Label No.3 Churchill ","7","47","NIC","NIC","COR/NIC","Colorado","Medium-Full",
13,"Viaje 5th Anniversary ","6.25","52","HON","NIC","NIC","Colorado Maduro","Full",
13,"Viaje C4 ","5","56","HON","NIC","COR/NIC","Colorado","Medium-Full",
13,"Viaje Cache (Box-press)","5","52","NIC","NIC","MEX","Maduro","Medium-Full",
13,"Viaje Cache (Round)","5","52","NIC","NIC","MEX","Maduro","Medium-Full",
13,"Viaje Circa 45 No. 1","5","52","DR","DR","COR/ECU","Colorado","Mild-Medium",
13,"Viaje Circa 45 No. 2","5.5","58","DR","DR","COR/ECU","Colorado","Mild-Medium",
13,"Viaje Circa 45 No. 3","6","54","DR","DR","COR/ECU","Colorado","Mild-Medium",
13,"Viaje Collaboration 2014 (Casa Fernandez)","6","52","NIC","NIC","COR/NIC","Colorado Maduro","Medium-Full",
13,"Viaje Collaboration 2015 (PDR)","6","52","DR","DR/NIC","ECU","Colorado Maduro","Medium-Full",
13,"Viaje Collector's Ed. 2012 Oro","5","52","NIC","NIC","COR/NIC","Colorado Maduro","Medium-Full",
13,"Viaje Collector's Ed. 2016 Full Moon","6","56","HON","NIC","CRI","Colorado Maduro","Medium-Full",
13,"Viaje Collector's Ed. Double Edged Sword II ","6.5","50","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
13,"Viaje Collector's Ed. Skull & Bones Ten Ton Tess Gold","6","54","DR","SEC","SEC","Oscuro","Medium-Full",
13,"Viaje Collector's Ed. Skull & Bones Ten Ton Tess Silver","6","54","DR","BRA/DR/USA","MEX","Maduro","Medium-Full",
13,"Viaje Delgado","5.5","42","NIC","NIC","CRI/NIC","Colorado Maduro","",
13,"Viaje Exclusivo (regular production) Double R","5.5","54","HON","NIC","H98/NIC","Colorado Maduro","Medium-Full",
13,"Viaje Exclusivo (regular production) Robusto ","5","52","HON","NIC","H98/NIC","Colorado Maduro","Medium-Full",
13,"Viaje Exclusivo (regular production) Toro","6","50","HON","NIC","H98/NIC","Colorado Maduro","Medium-Full",
13,"Viaje Exclusivo (regular production) Torpedo","6","52","HON","NIC","H98/NIC","Colorado Maduro","Medium-Full",
13,"Viaje Exclusivo Chiquito (2009)","4.75","51","NIC","NIC","CRI/NIC","Colorado Maduro","Full",
13,"Viaje Exclusivo Chiquito (2011)","4.875","51","HON","NIC","CRI/NIC","Colorado","Medium",
13,"Viaje Exclusivo Chiquito (2013)","4.75","51","HON","NIC","CRI/NIC","Colorado","Medium-Full",
13,"Viaje Exclusivo Corona Gorda ","5.5","46","NIC","NIC","CRI/NIC","Colorado Maduro","Medium-Full",
13,"Viaje Exclusivo Double Edged Sword ","5.75","52","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
13,"Viaje Exclusivo Lancero Atlantic Cigar 15th Anniversary ","7.5","40","HON","NIC","COR/NIC","Colorado","Medium-Full",
13,"Viaje Exclusivo Leaded Robusto","5","52","HON","NIC","COR/NIC","Colorado","Medium-Full",
13,"Viaje Exclusivo Nicaragua Double Robusto","5.5","54","NIC","NIC","NIC","Colorado","Medium-Full",
13,"Viaje Exclusivo Nicaragua Robusto","5","52","NIC","NIC","NIC","Colorado","Medium-Full",
13,"Viaje Exclusivo Nicaragua Toro","6","50","NIC","NIC","NIC","Colorado","Medium-Full",
13,"Viaje Exclusivo Robusto (2010 Bundle Release) ","5","50","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
13,"Viaje Exclusivo Robusto (2010 Jar Release)","4.875","50","HON","NIC","CRI/NIC","Colorado Maduro","Full",
13,"Viaje Exclusivo Robusto (2012) ","5","52","HON","NIC","CRI/NIC","Colorado","Medium-Full",
13,"Viaje Exclusivo Short","4.25","42","NIC","NIC","CRI/NIC","Colorado","Medium-Full",
13,"Viaje Exclusivo Super Lance ","7.5","46","NIC","NIC","NIC","Colorado Claro","Medium-Full",
13,"Viaje Exclusivo Tower Cigars 45th Anniversary","5","52","NIC","NIC","CRI/NIC","Colorado","Medium-Full",
13,"Viaje Farmer Bill Hatchet","7","52","HON","NIC","NIC","Colorado","Full",
13,"Viaje Friends and Family Bel Air","6","50","HON","NIC","NIC","Colorado","Full",
13,"Viaje Friends and Family Cadeau ","7","48","HON","NIC","NIC","Colorado","Medium",
13,"Viaje Friends and Family Le Joueur ","5","52","HON","NIC","NIC","Colorado","Medium-Full",
13,"Viaje Friends and Family Merci","5.5","54","HON","NIC","NIC","Colorado","Medium-Full",
13,"Viaje Full Moon 2013 ","5","58","HON","NIC","NIC","Maduro","Medium-Full",
13,"Viaje Full Moon 2014","5","58","HON","NIC","NIC","Maduro","Medium-Full",
13,"Viaje Holiday Blend 2009","5","54","NIC","NIC","NIC","Colorado Maduro","Full",
13,"Viaje Holiday Blend 2010 Petite Robusto","4","54","NIC","NIC","NIC","Colorado Maduro","Full",
14,"Vibe Corojo Chairman","6","58","HON","HON/NIC","COR/HON","Colorado Maduro","Full",
14,"Vibe Corojo Corona","4.5","44","HON","HON/NIC","COR/HON","Colorado Maduro","Full",
14,"Vibe Corojo Robusto","5","52","HON","HON/NIC","COR/HON","Colorado Maduro","Full",
14,"Vibe Corojo Torpedo","5.5","44","HON","HON/NIC","COR/HON","Colorado Maduro","Full",
15,"Vicarias (Tre-J Cigars) Black Label","6","50","DR","DR/NIC","BRA","Maduro","Medium-Full",
15,"Vicarias (Tre-J Cigars) Black Label Robusto","5","50","DR","DR/NIC","BRA","Maduro","Medium-Full",
15,"Vicarias (Tre-J Cigars) Blue Label","6","52","DR","COL/DR/NIC","COR/ECU","Colorado Maduro","Medium",
15,"Vicarias (Tre-J Cigars) Blue Label Robusto","5","48","DR","COL/DR/NIC","COR/ECU","Colorado Maduro","Medium",
15,"Vicarias (Tre-J Cigars) White Label","7","52","DR","DR","CT/ECU","Claro","Mild",
15,"Vicarias (Tre-J Cigars) White Label Robusto","5","50","DR","DR","CTS/ECU","Claro","Mild",
16,"Victor Calvo Connecticut Esplendido","6","50","NIC","NIC","CT/ECU","Colorado Claro","Mild",
16,"Victor Calvo Connecticut Gran Corona","6.25","54","NIC","NIC","CT/ECU","Colorado Claro","Mild",
16,"Victor Calvo Connecticut Presidente","7","52","NIC","NIC","CT/ECU","Colorado Claro","Mild",
16,"Victor Calvo Gold Belicoso","6","54","NIC","DR/NIC","ECU/SUM","Colorado","Medium",
16,"Victor Calvo Gold Churchill","6.875","48","NIC","DR/NIC","ECU/SUM","Colorado","Medium",
16,"Victor Calvo Gold Robusto","5","50","NIC","DR/NIC","ECU/SUM","Colorado","Medium",
16,"Victor Calvo Habano Belicoso","6","54","NIC","NIC","ECU/HAB","Colorado","Medium-Full",
16,"Victor Calvo Habano Grand Robusto","5","55","NIC","NIC","ECU/HAB","Colorado","Medium-Full",
16,"Victor Calvo Habano Magnum","6","60","NIC","NIC","ECU/HAB","Colorado","Medium-Full",
16,"Victor Calvo Maduro Belicoso","6","54","NIC","NIC","CTB","Maduro","Medium-Full",
16,"Victor Calvo Maduro Grand Corona","6.25","54","NIC","NIC","CTB","Maduro","Medium-Full",
16,"Victor Calvo Maduro Robusto","5","50","NIC","NIC","CTB","Maduro","Medium-Full",
17,"Victor de La Cruz Gold Churchill","7","48","DR","DR/NIC","CTS","Colorado Claro","Full",
17,"Victor de La Cruz Gold Corona","","","DR","DR/NIC","CTS","Colorado Claro","Full",
17,"Victor de La Cruz Gold Maduro Grande","7","60","","","","Maduro","",
17,"Victor de La Cruz Gold Maduro Robusto","5","50","","","","Maduro","",
17,"Victor de La Cruz Gold Toro","6","52","DR","DR/NIC","CTS","Colorado Claro","Full",
17,"Victor de La Cruz Gold Torpedo","6.5","52","","","","","",
17,"Victor de La Cruz Silver Churchill","7","48","DR","DR","CTS","Colorado Claro","Mild",
17,"Victor de La Cruz Silver Corona","","","DR","DR","CTS","Colorado Claro","Mild",
17,"Victor de La Cruz Silver Grande","7","60","DR","DR","CTS","Colorado Claro","Mild",
17,"Victor de La Cruz Silver Robusto","5","50","","","","","",
17,"Victor de La Cruz Silver Toro","6","52","","","","","",
17,"Victor de La Cruz Silver Torpedo","6.5","52","","","","","",
17,"Victor de La Cruz Vivo Fuerte Maduro Grande","7","60","DR","","","Maduro","Full",
17,"Victor de La Cruz Vivo Fuerte Maduro Robusto","5","50","DR","","","Maduro","Full",
17,"Victor de La Cruz Vivo Fuerte Sumatra Churchill","7","48","DR","","SUM","Colorado Maduro","Medium",
17,"Victor de La Cruz Vivo Fuerte Sumatra Corona","5.5","52","DR","","SUM","Colorado Maduro","Medium",
17,"Victor de La Cruz Vivo Suave Connecticut Robusto","5","50","DR","","CT","Colorado Claro","Mild",
17,"Victor de La Cruz Vivo Suave Connecticut Toro","6","52","DR","","CT","Colorado Claro","Mild",
18,"Victor Sinclair 10th Aniversario Churchill ","6.75","48","DR","DR","DR/SUM","Colorado Maduro","Medium-Full",
18,"Victor Sinclair 10th Aniversario Dagger (chisel)","6.5","52","DR","DR","DR/SUM","Colorado Maduro","Medium-Full",
18,"Victor Sinclair 10th Aniversario Perfecto","5","54","DR","DR","DR/SUM","Colorado Maduro","Medium-Full",
18,"Victor Sinclair 10th Aniversario Robusto ","5","48","DR","DR","DR/SUM","Colorado Maduro","Medium-Full",
18,"Victor Sinclair 10th Aniversario Toro","5.75","54","DR","DR","DR/SUM","Colorado Maduro","Medium-Full",
18,"Victor Sinclair 10th Aniversario Torpedo","6.5","52","DR","DR","DR/SUM","Colorado Maduro","Medium-Full",
18,"Victor Sinclair 55 Series Black (Habano) Churchill","7","50","DR","CAM/DR/NIC","HAB","Colorado Maduro","Medium",
18,"Victor Sinclair 55 Series Black (Habano) Cigarillo ","3.5","28","DR","CAM/DR/NIC","HAB","Colorado Maduro","Medium",
18,"Victor Sinclair 55 Series Black (Habano) Robusto","5","50","DR","CAM/DR/NIC","HAB","Colorado Maduro","Medium",
18,"Victor Sinclair 55 Series Black (Habano) Toro","6","50","DR","CAM/DR/NIC","HAB","Colorado Maduro","Medium",
18,"Victor Sinclair 55 Series Blue (Maduro) Box-Press","5.5","55","DR","CAM/CRI/DR/NIC","BRA","Maduro","Medium-Full",
18,"Victor Sinclair 55 Series Blue (Maduro) Churchill ","7","50","DR","CAM/CRI/DR/NIC","BRA","Maduro","Medium-Full",
18,"Victor Sinclair 55 Series Blue (Maduro) Cigarillo","3.5","28","DR","CAM/CRI/DR/NIC","BRA","Maduro","Medium-Full",
18,"Victor Sinclair 55 Series Blue (Maduro) Extreme Chisel","6.5","52","DR","CAM/CRI/DR/NIC","BRA","Maduro","Medium-Full",
18,"Victor Sinclair 55 Series Blue (Maduro) Gigante","8","50","DR","CAM/CRI/DR/NIC","BRA","Maduro","Medium-Full",
18,"Victor Sinclair 55 Series Blue (Maduro) Perfecto","5","54","DR","CAM/CRI/DR/NIC","BRA","Maduro","Medium-Full",
18,"Victor Sinclair 55 Series Blue (Maduro) Robusto ","5","50","DR","CAM/CRI/DR/NIC","BRA","Maduro","Medium-Full",
18,"Victor Sinclair 55 Series Blue (Maduro) Shorty","4.5","48","DR","CAM/CRI/DR/NIC","BRA","Maduro","Medium-Full",
18,"Victor Sinclair 55 Series Blue (Maduro) Toro","6","50","DR","CAM/CRI/DR/NIC","BRA","Maduro","Medium-Full",
18,"Victor Sinclair 55 Series Blue (Maduro) Torpedo","6.5","52","DR","CAM/CRI/DR/NIC","BRA","Maduro","Medium-Full",
18,"Victor Sinclair 55 Series Green (Sun Grown) Box-Press ","5.5","55","DR","BRA/DR/H98/NIC","ECU","Colorado Maduro","Full",
18,"Victor Sinclair 55 Series Green (Sun Grown) Churchill ","7","50","DR","BRA/DR/H98/NIC","ECU","Colorado Maduro","Full",
18,"Victor Sinclair 55 Series Green (Sun Grown) Cigarillo","3.5","28","DR","BRA/DR/H98/NIC","ECU","Colorado Maduro","Full",
18,"Victor Sinclair 55 Series Green (Sun Grown) Extreme Chisel","6.5","52","DR","BRA/DR/H98/NIC","ECU","Colorado Maduro","Full",
18,"Victor Sinclair 55 Series Green (Sun Grown) Gigante","8","50","DR","BRA/DR/H98/NIC","ECU","Colorado Maduro","Full",
18,"Victor Sinclair 55 Series Green (Sun Grown) Perfecto ","5","54","DR","BRA/DR/H98/NIC","ECU","Colorado Maduro","Full",
18,"Victor Sinclair 55 Series Green (Sun Grown) Robusto ","5","50","DR","BRA/DR/H98/NIC","ECU","Colorado Maduro","Full",
18,"Victor Sinclair 55 Series Green (Sun Grown) Shorty","4.5","48","DR","BRA/DR/H98/NIC","ECU","Colorado Maduro","Full",
18,"Victor Sinclair 55 Series Green (Sun Grown) Toro ","6","50","DR","BRA/DR/H98/NIC","ECU","Colorado Maduro","Full",
18,"Victor Sinclair 55 Series Green (Sun Grown) Torpedo","6.5","52","DR","BRA/DR/H98/NIC","ECU","Colorado Maduro","Full",
18,"Victor Sinclair 55 Series Red (Corojo) Box-Press","5.5","55","DR","BRA/DR/NIC","BRA/COR","Colorado","Full",
18,"Victor Sinclair 55 Series Red (Corojo) Churchill ","7","50","DR","BRA/DR/NIC","BRA/COR","Colorado","Full",
18,"Victor Sinclair 55 Series Red (Corojo) Extreme Chisel","6.5","52","DR","BRA/DR/NIC","BRA/COR","Colorado","Full",
18,"Victor Sinclair 55 Series Red (Corojo) Fat Torpedo","5","58","DR","BRA/DR/NIC","BRA/COR","Colorado","Full",
